batch_size,fps,cpu_percent,ram_percent
10,84.71458867726363,54.3,82.8
20,77.80766722844653,16.9,82.8
30,71.46661214196868,43.6,82.8
40,79.11978544510849,31.0,82.8
50,82.7984070062037,35.2,82.8
60,75.4771686416354,44.1,82.8
70,78.05573995641552,42.1,82.8
80,80.61293293097057,37.9,82.9
90,76.85707363255999,41.4,82.9
100,81.60723072489947,37.6,82.9
