threads,fps,cpu_percent,ram_percent
1,85.19144381189643,38.1,80.1
2,126.47668803037251,58.6,80.2
4,157.05244277388007,75.1,80.3
6,164.26466421569927,74.1,80.3
8,157.43397135837463,71.8,80.3
10,165.8502807466968,81.0,80.3
12,170.7006979839453,80.3,80.2
14,163.97997743218122,79.9,80.2
16,165.65335298478308,78.3,80.3
