threads,avg_ms,cpu,ram
1,94.67466880841275,16.3,50.6
2,53.48375619156014,17.0,50.5
4,34.29207780375853,16.8,50.9
8,25.218175467280247,16.0,50.9
12,23.864209228989484,15.9,51.0
16,24.94737955607761,15.2,50.9
