filename,t_load_ms,t_proc_ms,t_total_ms,cpu_pct,mem_pct
IMG_1964.JPEG,15.29,6.98,22.27,6.2,50.6
IMG_1965.JPEG,16.28,8.05,24.33,6.2,50.6
IMG_1966.JPEG,14.93,7.10,22.03,7.1,50.6
IMG_1967.JPEG,14.18,7.46,21.64,80.0,50.6
IMG_1968.JPEG,14.48,7.07,21.55,6.2,50.6
IMG_1969.JPEG,14.33,7.18,21.51,6.2,50.6
IMG_1970.JPEG,15.46,7.08,22.54,6.2,50.6
IMG_2099.JPEG,16.78,6.53,23.31,53.1,50.6
IMG_2100.JPEG,16.41,6.61,23.01,25.0,50.6
IMG_2101.JPEG,15.77,6.51,22.29,53.1,50.6
IMG_2102.JPEG,15.49,6.53,22.03,31.2,50.6
IMG_2103.JPEG,15.82,6.66,22.48,56.2,50.6
IMG_2104.JPEG,15.27,6.06,21.33,12.5,50.6
IMG_2105.JPEG,15.35,6.33,21.67,6.2,50.6
IMG_2106.JPEG,15.41,6.21,21.62,6.2,50.6
IMG_2107.JPEG,15.52,6.63,22.15,53.1,50.6
IMG_2108.JPEG,15.24,6.59,21.84,6.2,50.6
IMG_2109.JPEG,17.14,7.16,24.29,54.5,50.6
IMG_2110.JPEG,16.19,6.75,22.94,12.5,50.6
IMG_2111.JPEG,17.26,7.33,24.59,9.4,50.6
IMG_2112.JPEG,15.58,6.39,21.97,47.1,50.6
IMG_2113.JPEG,16.25,6.86,23.10,15.6,50.6
IMG_2114.JPEG,16.11,6.66,22.77,6.2,50.6
IMG_2115.JPEG,16.08,6.21,22.29,53.1,50.6
IMG_2116.JPEG,15.80,5.91,21.72,6.2,50.6
IMG_2117.JPEG,15.33,7.50,22.83,12.5,50.7
IMG_2118.JPEG,17.10,7.09,24.19,29.4,50.6
IMG_2119.JPEG,15.36,6.64,22.00,53.1,50.6
IMG_2120.JPEG,17.19,6.65,23.84,12.5,50.7
IMG_2121.JPEG,16.08,6.79,22.87,12.5,50.6
IMG_2122.JPEG,15.87,6.38,22.26,6.2,50.6
IMG_2123.JPEG,15.81,7.32,23.13,12.5,50.7
IMG_2124.JPEG,16.63,7.17,23.80,57.6,50.6
IMG_2125.JPEG,15.97,6.92,22.89,12.5,50.7
IMG_2126.JPEG,16.86,7.48,24.35,24.2,50.5
IMG_2127.JPEG,16.30,7.42,23.72,12.5,50.5
IMG_2128.JPEG,16.62,7.52,24.14,63.6,50.5
IMG_2129.JPEG,15.41,7.25,22.66,6.2,50.5
IMG_2130.JPEG,16.85,6.60,23.45,6.2,50.5
IMG_2131.JPEG,16.44,6.18,22.61,19.0,50.5
IMG_2132.JPEG,14.68,6.82,21.51,3.6,50.5
IMG_2133.JPEG,15.08,6.41,21.49,6.2,50.5
IMG_2134.JPEG,14.54,6.26,20.80,36.4,50.5
IMG_2135.JPEG,15.04,6.79,21.83,6.2,50.5
IMG_2136.JPEG,16.62,7.07,23.68,9.4,50.6
IMG_2137.JPEG,15.30,7.11,22.41,12.5,50.5
IMG_2138.JPEG,15.14,6.82,21.96,9.4,50.5
IMG_2139.JPEG,15.39,7.09,22.48,6.2,50.6
IMG_2140.JPEG,15.26,7.19,22.45,6.2,50.6
IMG_2141.JPEG,15.34,6.18,21.52,6.2,50.6
IMG_2142.JPEG,14.53,6.09,20.62,6.2,50.6
IMG_2143.JPEG,14.30,6.27,20.57,6.2,50.6
IMG_2144.JPEG,14.66,6.59,21.26,12.5,50.6
IMG_2145.JPEG,15.58,6.95,22.53,53.1,50.6
IMG_2146.JPEG,15.59,7.45,23.04,12.5,50.6
IMG_2147.JPEG,15.19,6.88,22.07,56.2,50.6
IMG_2148.JPEG,14.92,6.46,21.38,12.5,50.6
IMG_2149.JPEG,15.02,6.09,21.11,9.4,50.6
IMG_2150.JPEG,14.94,6.58,21.51,12.5,50.6
IMG_2151.JPEG,15.12,6.00,21.12,36.0,50.6
IMG_2152.JPEG,14.98,6.31,21.29,4.3,50.6
IMG_2153.JPEG,15.40,6.47,21.87,6.2,50.6
IMG_2154.JPEG,14.95,7.28,22.23,65.6,50.6
IMG_2155.JPEG,16.15,6.59,22.74,25.0,50.6
IMG_2156.JPEG,15.35,8.05,23.40,56.2,50.6
IMG_2157.JPEG,16.05,6.88,22.94,6.2,50.6
IMG_2159.JPEG,15.45,14.53,29.98,12.5,50.6
IMG_2160.JPEG,14.89,13.60,28.49,53.1,50.6
IMG_2161.JPEG,14.54,12.97,27.51,6.2,50.6
IMG_2162.JPEG,14.91,13.04,27.94,9.4,50.6
IMG_2163.JPEG,15.52,13.91,29.43,15.2,50.6
IMG_2164.JPEG,14.72,8.52,23.23,18.8,50.6
IMG_2166.JPEG,14.70,15.25,29.95,53.1,50.6
IMG_2167.JPEG,17.70,15.32,33.02,16.7,50.6
IMG_2168.JPEG,15.31,13.85,29.16,21.7,50.6
IMG_2169.JPEG,14.39,7.73,22.12,8.0,50.7
IMG_2170.JPEG,16.22,13.50,29.72,56.2,50.6
IMG_2171.JPEG,15.51,8.25,23.77,24.2,50.6
IMG_2172.JPEG,15.51,8.67,24.17,12.5,50.6
IMG_2173.JPEG,15.67,9.20,24.87,17.6,50.6
IMG_2174.JPEG,14.77,7.82,22.59,41.2,50.6
IMG_2175.JPEG,14.10,7.68,21.78,12.1,50.6
IMG_2176.JPEG,16.09,7.86,23.95,12.5,50.6
IMG_2177.JPEG,14.58,7.84,22.42,21.9,50.6
IMG_2178.JPEG,14.97,8.70,23.67,6.2,50.6
IMG_2179.JPEG,14.94,9.42,24.36,54.5,50.6
IMG_2180.JPEG,15.68,9.12,24.79,37.5,50.6
IMG_2181.JPEG,15.34,8.96,24.30,6.2,50.6
IMG_2182.JPEG,15.09,9.08,24.17,12.5,50.6
IMG_2183.JPEG,14.66,8.50,23.16,6.2,50.4
IMG_2184.JPEG,14.63,8.66,23.29,53.1,50.5
IMG_2185.JPEG,14.48,7.59,22.07,6.2,50.5
IMG_2186.JPEG,14.50,7.77,22.27,56.2,50.5
IMG_2187.JPEG,15.05,7.70,22.75,18.8,50.5
IMG_2188.JPEG,15.00,8.11,23.10,58.8,50.5
IMG_2189.JPEG,14.40,8.54,22.94,46.2,50.5
IMG_2190.JPEG,15.43,8.99,24.42,25.0,50.5
IMG_2191.JPEG,15.00,8.44,23.44,58.8,50.5
IMG_2192.JPEG,15.31,7.53,22.84,12.5,50.5
IMG_2193.JPEG,14.11,8.12,22.23,50.0,50.5
IMG_2194.JPEG,14.66,7.88,22.54,6.2,50.5
IMG_2195.JPEG,15.28,8.41,23.69,100.0,50.5
IMG_2196.JPEG,14.52,7.32,21.84,31.2,50.5
IMG_2197.JPEG,14.61,7.14,21.75,53.1,50.5
IMG_2198.JPEG,15.24,7.99,23.24,47.1,50.5
IMG_2199.JPEG,14.51,7.94,22.45,55.9,50.5
IMG_2200.JPEG,14.92,7.85,22.78,12.5,50.5
IMG_2201.JPEG,15.22,7.86,23.08,12.5,50.5
IMG_2202.JPEG,15.66,7.45,23.11,6.2,50.5
IMG_2203.JPEG,14.77,7.29,22.06,28.1,50.5
IMG_2204.JPEG,13.77,7.97,21.74,6.2,50.5
IMG_2205.JPEG,13.88,7.56,21.44,7.1,50.5
IMG_2206.JPEG,14.45,8.74,23.19,10.0,50.5
IMG_2207.JPEG,16.47,9.86,26.34,12.5,50.5
IMG_2208.JPEG,15.78,9.74,25.53,29.6,50.5
IMG_2209.JPEG,16.86,8.65,25.50,14.3,50.5
IMG_2210.JPEG,14.99,7.58,22.57,15.6,50.5
IMG_2211.JPEG,14.88,8.25,23.13,12.5,50.6
